Project_ID,Project_Type,Target_Cost_INR,Actual_Cost_INR,Cost_Overrun_Percent,Target_Duration_Days,Actual_Duration_Days,Timeline_Overrun_Days,Project_Start_Date,Project_End_Date_Planned,Project_End_Date_Actual,Voltage_Level_kV,Line_Length_km,Number_of_Bays,Terrain_Complexity_Index,Environmental_Impact_Severity,Forest_Land_Required_Ha,Num_Required_Permits,Average_Permit_Lag_Days,Right_of_Way_Delay_Severity,Regulatory_Hotspot_Region,Labour_Cost_Estimate_INR,Material_Cost_Estimate_INR,Num_Skilled_Workers_Required,Vendor_Performance_Rating,Num_Vendor_Change_Events,Material_Availability_Issue,Annual_Rainfall_mm,Num_Extreme_Weather_Days,Commodity_Price_Index_Start,Commodity_Price_Change_During_Project,Historical_Local_Delay_Index,Escalation_Reason_Material,Escalation_Reason_Regulatory,Escalation_Reason_Manpower,Qualitative_Risk_Score,Year,Cost_Per_km_Cr,Duration_Efficiency,Risk_Flag
Kur0ol-Allahabad HVDC Transmission Line 765kV Phase-II_00001,HVDC Transmission Line,32181626952.7056,30181245812.6083,-6.21591053503001,747,580,-167,2014-12-21,2017-01-06,2016-07-23,765,1339.4,8,Moderate,Medium,220.1331,34,187.5,High,Madhya Pradesh,32396504629.12,190074068355.51,3000,8.6,1,0,617,9,110.3,1.9,2.1,0,1,1,1,2014-15,17.12,1.288,0
Burdwan-Bina Transmission System 765/400kV_00002,Transmission System (TBCB),20479183321.4613,19199686492.935,-6.24779225051179,583,647,64,2020-05-26,2021-12-30,2022-03-04,765,266.6,7,Low (Desert),Low,0,21,70,Low,Rajasthan,17981187474.68,117049891065.23,3000,8.4,0,0,307,15,106,2.5,2.3,1,0,1,6,2020-21,59.09,0.901,1
Burdwan-Bina Transmission System 765/400kV_00002,Transmission System (TBCB),20479183321.4613,19199686492.935,-6.24779225051179,583,647,64,2020-05-26,2021-12-30,2022-03-04,400,266.6,7,Low (Desert),Low,0,21,70,Low,Rajasthan,17981187474.68,117049891065.23,3000,8.4,0,0,307,15,106,2.5,2.3,1,0,1,6,2020-21,59.09,0.901,1
Vijayawada-Itanagar Transmission System 400kV_00003,Transmission System,4664608192.17521,5983839506.37153,28.2817175601008,742,839,97,2018-08-21,2020-09-01,2020-12-07,400,502,26,Low (Plains),Low,0,6,21.4,Low,Nagaland,4369062120.1,14761830314.25,2089,4.9,3,1,1147,6,99.9,4.9,2.4,1,0,0,8,2018-19,5.89,0.884,1
Communication System Punjab_00004,Communication System,466090891.540467,1034602943.00686,121.974503639713,635,674,39,2011-06-27,2013-03-23,2013-05-01,220,84.3,0,Low (Urban),Low,0,7,28.4,Moderate,Punjab,257942318.47,965939272.11,238,3.2,3,1,614,15,114.3,8.4,2.4,1,0,0,5,2011-12,1.9,0.942,1
Sikar-Mandsaur Transmission Line 765kV Phase-II_00005,Transmission Line,5640015255.29571,6950381677.59555,23.2333843613183,969,1056,87,2022-05-24,2025-01-17,2025-04-14,765,268.2,2,Medium (Plateau),Low,26.8823,6,64.3,Moderate,Bihar,5298209891.49,18816722401.91,2294,7.4,1,0,1179,16,109,0.8,3,0,1,0,10,2022-23,9.5,0.918,0
Khetri 765kV GIS Substation_00006,Substation,12902941605.1381,15001129435.7448,16.2613138524256,544,546,2,2010-05-18,2011-11-13,2011-11-15,765,0,12,Medium (Undulating),Medium,5.1306,13,70.8,Moderate,Maharashtra,14274113469.28,50067429080.27,2040,7,2,1,1425,17,96.9,1.4,1.8,1,0,1,1,2010-11,0,0.996,1
Transmission Project SPV Udaipur_00007,Transmission Project SPV,1634328994.80174,2866537673.28525,75.3953874894693,954,1044,90,2014-03-17,2016-10-26,2017-01-24,220,261.4,6,Low (Plain),Moderate,0,12,69.5,Moderate,Punjab,976575982.41,3449505950.76,648,7,2,0,513,11,115.5,-9.3,2.7,0,0,0,4,2014-15,1.8,0.914,0
Kanpur-Jaipur Transmission System 132kV Phase-II_00008,Transmission System,8380469981.24297,10440813583.0543,24.5850603417563,857,1114,257,2017-08-27,2020-01-01,2020-09-14,132,518.6,26,Low (Urban),Low,0,9,85.1,Low,Himachal Pradesh,9032765168.05,30479149852.89,1920,7.1,0,0,1094,5,110.2,0.7,3.5,0,1,1,1,2017-18,6.56,0.769,1
Ujjain-Tirunelveli Transmission System 220kV Phase-III_00009,Transmission System,12205333829.4794,12848773629.9845,5.27179190257783,576,499,-77,2017-09-15,2019-04-14,2019-01-27,220,1479.2,15,High (Hilly),Moderate,564.5525,31,138,Low,Madhya Pradesh,10533337924.93,59071626626.14,3000,7.8,0,0,1276,26,108.4,-1,2.2,0,1,1,5,2017-18,5.08,1.154,0
